学校-老师	课程名称	课程内容与评价,,,,,,
"13001-北京大学-陈斌	离散数学概论	""概述：通过数理逻辑，你可以把啰嗦的推理过程写成简洁的公式，这可是学术论文的必备要素；在集合论里，你可以知道自然数是怎么来的，数学归纳法为什么会那么神奇？你在《数据结构和算法》里学到的许多东西，源头尽在图论里边；最后我们来认识一下计算机的本质，一起探讨机器能力的极限，以及人类知识的边界。",,,,,,
"评价：没有MOOC，我可能还是一个一本三流学校五流专业未来迷茫的大学生。""",,,,,,
"1001255001-福建师范大学-孙绍振	中学语文名篇选讲	""概述：《大学名师讲语文》是一套融注福建师范大学语文名师的教育理念和教学实践的自我总结大系。它收录了福建师范大学文学院多位教授和副教授的语文教学实录，这些活跃在语文教学界的领军人物们站在不同的学科背景对经典文本进行挖掘，以“讲”的形式，展示其深邃的语文教育思想，独特的语文教学风格。",,,,,,
"评价：想对第二章老师的观点发表一些个人见解，首先感谢老师的讲授，在听课过程中也有受益，但是其中一些观点我有一点别的想法。老师说语文教学的最终目的是写，有一定的道理，但是我觉得最终目的不光是写，还有独立思维的养成，学习方法的养成，美好人格的养成等等。如果说一个人文章写得好，在一定程度上可以说他语文这门学科学得还不错，但是并不能说明这个人拥有独立的、批判的思维，也不能说他的学习方法就一定很科学，更说明不了他的人格是不是美好的，而这些东西我觉得更是语文学科所要重视的范...""",,,,,,
"9008-华中科技大学-李国徽	数据结构	""概述：数据结构是编程最重要的基本功！学了顺序表和链表，你就知道，在查询操作更多的程序中，你应该用顺序表；而修改操作更多的程序中，你要使用链表；而单向链表不方便怎么办，每次都从头到尾好麻烦啊，怎么办？你这时就会想到双向链表or循环链表。请小伙伴们加入到数据结构的深入学习中来吧！",,,,,,
"评价：特别好！要是课程结束还是能看视频就好了""",,,,,,
"86002-江西财经大学-刘爱军	制胜：一部孙子傲商海	""概述：半部论语治天下，一部孙子傲商海！本课程聚焦“天下第一兵书”《孙子兵法》的制胜思想，深入剖析孙子制胜韬略的实质与当代价值，并结合数十个商战案例系统讲述孙子知胜、道胜、谋胜、交胜、势胜、奇胜、力胜等七大制胜手段在现代商业竞争中的创新运用，启迪您求胜防败，超越竞争，和谐共赢。",,,,,,
"评价：课程测验时间设置极不合理，易漏做。""",,,,,,
"1001195001-暨南大学-谷虹	数字营销：走进智慧的品牌	""概述：物联网、云计算、大数据、虚拟现实、人工智能，一场数字营销技术的完美风暴正拉开序幕，一个全新的品牌时代即将来临。我们将通过数百个国内外金奖案例全方位展现数字营销当前应用的8大领域：交互展示、游戏玩乐、移动定位、搜索应答、社交情感、电子商务、内容共生、协同创新。加入我们吧，迎向未来！",,,,,,
"评价：数字营销是一种发展中的事物形态，谁也说不准。给主讲老师提个意见，不要太过于对学生的见解下定义，不要太自己认为。还有，举例全是多少年国外耳能详熟的品牌，为什么不举中国的品牌了。哪些被举到的教授，一堆的难记的老外名字，管理学和经济学本来就没有标准，中国也有不错的老师，所以，不要一讲就一堆外。习惯影响了我们，总要拿一个外国的月亮来证明自己的观点。""",,,,,,
"104001-华中农业大学-李谷成	经济学原理	""概述：经济学是研究稀缺资源的配置与利用，在有限资源的各种可供利用组合中如何进行最优化选择的科学。课程包括微观经济学与宏观经济学两个部分。微观经济学以价格理论为中心，研究企业、家庭和市场等微观供求行为与价格之间的关系。宏观经济学以收入理论为中心，研究一个国家整体经济运行以及政府如何运用经济政策来影响经济。",,,,,,
"评价：完全照着ppt念的？有什么用吗？还不如直接给ppt得了。""",,,,,,
"39001-湖南师范大学-刘铁芳	教育哲学	""概述：",,,,,,
"评价：老师所讲的，都是我想听的，作为一个教育学硕士毕业三年，扎根教育研究10余年的人，内心洋溢着也是对爱与智的不懈热爱，希望有幸成为刘老师的博士生，共同激荡教育哲学的智慧之光。""",,,,,,
"9007-西安交通大学-和玲	无机与分析化学	""概述：欢迎来到西安交通大学无机与分析化学在线课程，无机与分析化学有效结合无机化学和分析化学，是化学、化工、生物、材料、能源、环境、食品等专业的基础课程。本课程帮助大家认知化学反应发生以及能量、程度、速率等基本规律；在新物质产生、新反应设计、新原理应用方面，帮助你认识物质结构的基本规律；获得研究对象组成、含量、化学结构等相关信息。",,,,,,
"评价：课讲的很棒 适合大一期末自救。""",,,,,,
"105001-华中师范大学-戴建业	文学经典导读	""概述：本课程是由华中师大文学院戴建业教授主持、由华师文学院古代文学学科全体教师主讲的核心通识课程。华中师大古代文学学科是省级精品课程教学团队，其开设的相关课程，历来都是校内外最受欢迎的课程之一。主持人戴建业教授是华师“桂苑名师”，被广大网友誉为“国民教授”；主讲人之一林岩教授曾在央视《百家讲坛》主讲唐宋八大家。",,,,,,
"评价：既然没有戴老师，完全可以用其他老师来作为主讲老师，这样做严格来说已经属于学术不端了，既损害了戴老师和华师的名声，也是对其他老师的极大不尊重。希望课程平台好好管理！""",,,,,,
"13001-北京大学-亓昕	大学生瑜伽	""概述：本课程是一门能够促进大学生身心平衡的养心健身类课程。课程根据大学生的身心特点进行设计",课程内容以体式练习为主，体式动作由易渐难，由个别到组合，辅以瑜伽呼吸和冥想及休息术的练习，通过11周的教学课程，使同学们掌握基本的瑜伽运动规律，促进养成终身体育的习惯和健康生活的理念。,,,,,
"评价：感恩有这样的免费重点大学的高品质大学，让我们这些远离大学多年的赋闲在家的中年妈妈找到了生活中更有意义的东西。""",,,,,,
"8002-厦门大学-黄洪艺	C程序设计基础	""概述：C语言是富有活力的编程语言，广泛用于多种编程领域，在各类编程语言排行榜上常据榜首，其魅力毋庸置疑。 这是一门实践性很强的课程，这里提供了基础的知识点讲解，配合编程训练，帮助你在实践中掌握编程知识，培养编程能力。",,,,,,
"评价：黄洪艺老师教的非常好，非常基础而且细心，一些小白可能看不懂的地方也会说明，0基础都能看懂。 张丽丽老师就稍微逊色一些了，她讲课有点急，而且写代码经常不写全，只写关键部分，在举例一些代码后有时候也不运行。 庄朝晖老师，emmm。感觉他就是在读ppt。他举例的代码非常简洁，但是对初学者来说，那些简略的步骤很难理解啊！！！""",,,,,,
"74001-北京交通大学-张真继	企业资源计划	""概述：《企业资源计划》以企业信息资源管理平台为依托，充分剖析ERP的管理思想和原理，使学生掌握企业的决策、计划、控制与经营业绩评估的流程与方法，以及利用信息技术完成对企业资源（人、财、物、信息等）的综合平衡和优化管理。",,,,,,
"评价：开放课程，正好要学习，感谢母校老师""",,,,,,
"9013-电子科技大学-张秋雯	摄影基础	""概述：当今图像时代，摄影已成为一门普遍的艺术语言，是凝固瞬间和认识世界的一个重要手段。本课程以实战拍摄为主要方式，结合基础技术知识讲解，与你一起分享摄影的内容及技巧，提升美学素养，引导大家体验美、发现美，表达美，用相机有选择的观察和记录生活。",,,,,,
"评价：我是一个零基础摄影者，没有单反，冲着学习手机摄影来学习这门课程的，没想到学到了挺多关于摄影的知识，老师不仅教我们如何拍，而且告诉我们如何去发现美，去发掘一张好照片。很棒的课程。""",,,,,,
"8013-同济大学-郭小农	结构概念分析与ANSYS程序实现	""概述：本课程以通用有限元程序ANSYS为工具，通过对命令流的学习，使学生了解并掌握基本结构概念，培养解决实际工程问题和科研问题的能力。",,,,,,
"评价：欢迎大家关注和学习本课程，本人水平有限，讲课过程中的疏漏之处敬请谅解。如果我时间充裕，会尽量抽空回复大家的问题。""",,,,,,
"8013-同济大学-赵宪忠	钢结构基本原理	""概述：钢结构是现代土木工程的基本结构形式之一，而《钢结构基本原理》是土木工程专业的专业基础必修课程。本课程以建立基本概念、阐释基本原理为宗旨，使学生全面掌握钢结构材料、构件和连接的基础知识，理解钢结构分析的基本原理，为今后进一步学习各类钢结构与金属结构的设计、制作和建造奠定基础。",,,,,,
"评价：谢谢大家关注""",,,,,,
"1001591003-长春师范大学-徐敏	西方经济学的奇妙世界	""概述：《西方经济学的奇妙世界》是长春师范大学徐敏教授领衔主讲的一门国家级一流线上金课。该课程为导论性质，讲授内容包括绪论、需求供给与价格理论、消费者行为理论、生产与成本分析、市场理论、GDP、失业与通货膨胀理论、宏观经济政策，适合经管商类专业32-48学时课程同步或异步SPOC，也可用作经济学爱好者的通识兴趣课。课程开设目的是让学习者不掌握经济学复杂技术的基础上掌握西方经济学的思想精髓，形成经济学思维，助力您的学业和事业。",,,,,,
"评价：第一次上线，不知道大家的时间啊，抱歉啊。我看看怎么才能加快速度""",,,,,,
"1001399001-天津财经大学-孟昊	国际金融	""概述：国际金融主要研究不同国家货币之间的静态和动态关系，探讨跨国的货币金融与经济协调问题，兼具理论性和实务操作性。本课程将国际金融的教学内容凝炼为四部分、共33个核心知识点，各知识点逻辑相连又彼此独立，以教师讲授、情景剧、动画、纪录片等多种形式呈现。",,,,,,
"评价：平时不努力，毕业两行泪。老师，我来补课了(´-ω-`)""",,,,,,
"8012-东北大学-朱利	书法课堂	""概述：书法是一门艺术，使我们平实的生活充满诗情画意；书法更是一种文化，把琐碎单调的生活用智慧调剂得有声有色。《书法课堂》把玄而又玄的理论转化成言简意赅的实践，引导学生在短时间内掌握篆书、隶书、草书、行书和楷书五种书体的书写方法，理论和实践结合，提高欣赏和书写能力，陶冶情操，修养身心。",,,,,,
"评价：书法亦就佛法，始于戒律，精于定慧，证于心源，妙于了悟，至于极也，亦非口手可传焉。——康有为。。。。。。 书，如也，如其学，如其才，如其志，总之曰如其人。—— 刘熙载""",,,,,,
"9017-西北工业大学-张静	金属材料学	""概述：“金属材料学”为金属材料工程专业的学生讲授关于有色金属材料韧化原理，针对本硕博提升对金属材料系统全面的科学认识和素养； 有色金属材料品种多样、应用领域广泛，对有色金属的认识有利于专业从业人员分析问题、解决问题、选用材料、设计材料和工艺； 课程的基础理论讲授强调个性、总结共性、启迪思维；",,,,,,
"评价：希望随时都可以查看学习内容，不用等下次开课的那种T_T""",,,,,,
"35001-西南交通大学-张祖涛	大学生科技创新课程之节能减排社会实践与科技竞赛	""概述：全国大学生节能减排社会实践与科技竞赛紧密围绕国家能源与环境政策，是一项起点高、规模大、覆盖面广，具有导向性、示范性和群众性的全国大学生竞赛。本课程通过大赛主题、学生组队、比赛创意、方案设计、作品实现、方案优化、作品展示、网评决赛、国赛答辩、成果保护方面提高大学生科技创新创业能力。",,,,,,
"评价：重要通知：近年全国大学生节能减排社会实践与科技竞赛获奖作品申报书、答辩ppt和演示视频已上传课程共享！同学们好， 张老师把团队近年来在全国大学生节能减排社会实践与科技竞赛一等奖获奖作品申报书、答辩ppt和演示视频已陆续上传到课程中，大家可以学习共享借鉴。 这些国家级一等奖获奖作品都是老师团队指导，其中决赛答辩ppt经过多次打磨，演示视频精心制作，作品申报书和方案书创新点突出！ 把这些宝贵资料分享给全国各地学生们，大家共同创新与实践！""",,,,,,
"9017-西北工业大学-宁方立	机械设计	""概述：西北工业大学“机械设计”课程为国家级精品课程，任课教师均为国家级机械基础教学团队主要成员。该课程的主要任务是培养学生掌握通用机械零件的设计原理、方法和机械设计的一般规律，具有设计一般简单机械的能力；具有应用标准、规范、手册、图册等技术资料的能力，掌握典型机械零件的实验方法。",,,,,,
"评价：照本宣科，没有什么干货。和自己看书没什么区别""",,,,,,
"1001208001-杭州师范大学-骆蓉	印象英美——穿越时空之旅	""概述：随我出游世界，归来仍是少年！带你泰晤士河边散步，自由女神像下沉思，唐顿庄园中品酒，西部公路上放歌。向你展现课本上没有的英美文化！",,,,,,
"评价：首先，课程内容组织非常好，系统地介绍了英美常识，详略的当，每个授课老师讲解清晰，语音纯正，并配有汉语翻译，一目了然，还可还可以会看。这种学习方式非常好，适合我的学习，让我较全面地了解了英美的地理、文学、教育、留学、作家、媒体、文化等方面的知识，受益匪浅。非常感谢你们！希望中国的慕课越办越好，让更多的人受益，提高全民族的文化水平。""",,,,,,
"1001224002-浙江工商大学-周春喜	投资与理财	""概述：伟大的投资家格雷厄姆说：“投资艺术有一个特点不为大众所知。门外汉只需一点努力与能力，便可取得令人尊敬（即使并不可观）的结果。但如果想在此标准上更进一步，则需更多实践与智慧。”投资与理财世界的复杂性吸引我们用深邃的眼光去洞察这一切，自然需要勇气、理性以及对投资理财知识与智慧的热爱。",,,,,,
"评价：对于我这种没有金融与经济学基础知识的人来说，大多能听得懂已经很难得了，之前也听过类似的课程，但专业术语太多，完全不懂。而楼老师能用一些现实中的例子或俗语或分析异同等方式，让我们更好地理解课程内容，特别好，为您打call""",,,,,,
"102001-浙江财经大学-李金昌	统计学	""概述：《统计学》是一门理论与实践紧密结合、应用性广泛的方法类课程。结合社会经济实践，顺应大数据分析需求，运用统计数量分析的理论、方法和大数据分析技术，分析社会经济现象数量的表现、关系和变化规律，使学生了解统计思想，培养数据应用思维，学会用统计方法和数据处理技术分析和解决社会经济问题。",,,,,,
"评价：人家花了那么多精力，免费给你看，还那么吹毛求疵""",,,,,,
"9003-复旦大学-吕红	改变生活的生物技术	""概述：为什么疫苗是预防病毒感染的最佳手段？什么是转基因？如何进行基因编辑？请聆听和讨论生物技术的原理、方法与应用。",,,,,,
"评价：谢谢这么多来自社会不同圈子、不同年龄的有志之士捧场！我们教师团队都十分重视这次的线上课程，后续的课程有许多有趣的实验、动手实践、以及和名师们互动讨论的机会！我们由衷地希望能让更多人去了解生物，喜欢生物。生物离我们并不遥远，让我们带你去观看不一样的生物技术世界！""",,,,,,
"57001-北京邮电大学-尹霄丽	信号与系统	""概述：我们生活在信息时代，有了信号和处理信号的系统，千山万水也不再遥远。这门课程学习信号的描述和运算，系统的描述和性质，研究确定性信号经线性时不变系统传输和处理的基本概念和基本分析方法，为进一步学习通信、信号处理和人工智能等课程打下必要的基础。通过细致的分析和形象的演示带领大家走进信号与系统的神秘世界。",,,,,,
"评价：北邮的镇校课程内容自然是不用多说。这种几分钟一节的分知识点的方式感觉很有用啊可以在考试前当作查漏补缺的利器""",,,,,,
"6001-浙江大学-段治文	中国近现代史纲要	""概述：“中国近现代史纲要”课程是通过对中国近现代政治、社会发展变迁线索的把握，引导学生感受社会发展大变动的状况，深入历史表象背后去体会历史发展的意境，提升自身的历史智慧，从而全方位提高大学生的人文历史和政治素养。",,,,,,
"评价：大师不愧是大师，985院校教师真的是有水平，原来思政课还可以这么丰富和精彩。 我觉得评价一门课程或者一位老师授课是否精彩，一个重要指标就是学生或者听众能否因为授课内容而产生想进一步探究的兴趣。感谢该课程团队，点燃了我对思政课程的喜爱。 真心希望能有更多的大师录制慕课，这样我等就有机会学习更多的精彩的知识了！""",,,,,,
"1001167002-东北师范大学-李新	文学经典导读	""概述：本课程通过对经典文学作品的阅读、诵读、分析、阐释，能够提高学生感受和鉴赏美的能力，丰富学生的精神世界，激励情感、启迪心灵，不断提高审美能力和文化素养，并通过对经典作品的再现，达到艺术与文学审美通感的效果。内容上兼有经典性、学术性和前沿性的特点；形式上兼有体验性、启发式的特点。",,,,,,
"评价：老师完全就是念稿子，可不可以自己讲出来呢？有时候一些语言都是不通顺的""",,,,,,
"109001-西安电子科技大学-李兵兵	随机信号分析	""概述：随机信号分析是通信工程、信息工程、空间信息与数字技术专业必修的一门专业基础课和信息安全专业的限选专业基础课。同时也是空间科学与技术学院教改班的一门必修的专业基础课。",,,,,,
"评价：老师只会读ppt，真的听不懂，也不解释，为什么这样的课程也能继续存在？""",,,,,,
"13001-北京大学-饶毅	生物学概念与途径	""概述：《生物学概念与途径》由饶毅教授自2008年于北京大学设立、主持，面向所有大学生、研究生。经多年整理筹备，本课程作为北大第100门慕课上线。现只需登录慕课平台，即可聆听饶毅教授及他邀请的一众国内外顶尖科学家亲自传道受业解惑，一同通过慕课学习，拨云见雾，了解科学，拷问自我。",,,,,,
"评价：我是江苏省镇江市八叉巷小学一名小老师。我今年已经52岁，听了北京大学馓毅教授的课，非常感兴趣。我以前在中学工作时，曾经教过10多年的初中生物学课程。现在能通过网络听到老师的，觉得是非常美妙的一件事情。以后，饶毅教授可能不知道我，我却可以成为饶毅教授网上的生物弟子啊。""",,,,,,
"8012-东北大学-孙萍	社区管理学	""概述：社区是和谐社会建设的重要载体，强化社区治理亦是当下中国社会治理创新的基本要求。本课程基于我国转轨期社区治理的现实需要，以需求为导向，理论联系实际，面向专业学生、社区一线工作者和广大兴趣爱好者，为培养社区治理和建设的合格人才，提升我国社区治理的整体水平而设计。欢迎大家，加入我们！",,,,,,
"评价：我学习完 怎么不可以申请证书？""",,,,,,
"9005-哈尔滨工业大学-胡修瑞	中国传统艺术——篆刻、书法、水墨画体验与欣赏	""概述：学习传统艺术首先应学习篆刻艺术、书法艺术和水墨画艺术，它们既独立存在，又结合紧密。 篆刻是篆书与雕刻艺术的完美结合；书法是语言视觉化的艺术，是抽象线条与人文精神结合的艺术；水墨画是水与墨，形与意，诗、书、篆的合体，它源远流长，博大精深，是中国文化中最具代表性的文化精髓，通过以上三个部分学习能够较快了解中国传统绘画艺术。",,,,,,
"评价：不仅有理论，也有实际的展示，很好的一门课程，可以让我们更好地了解中国的传统艺术，建议大家都学一下，不要让传统从我们这代人手里丢失。""",,,,,,
"8012-东北大学-赵雯	通用英语（一）	""概述：想提高你的英语能力、想了解丰富多彩的世界、想提升你的跨文化交际能力、思维能力和创新能力、想与更多的朋友分享学习英语的快乐和体验吗？请跟随我们的NEU团队一同进入《通用英语》慕课，开启你的英语学习之旅吧。",,,,,,
"评价：我认为考核截止时间不合理""",,,,,,
"9005-哈尔滨工业大学-尹逊波	高等数学习题课（二）	""概述：考研必备！ 期末考试必备！ 你来吗？",,,,,,
"评价：上学时有幸听过尹老师的课，很棒，可以说是男神。在软件能再次见到尹老师，很激动""",,,,,,
"9005-哈尔滨工业大学-尹逊波	微积分（二）	""概述：恩格斯评价说：“人类所取得的理论成就还没有什么像17世纪下半叶微积分的发现 那样使人类整个精神达到了最高的胜利。”",,,,,,
"评价：太喜欢尹老师的课了，总是能在不懂时，得到尹老师的点拨，并且尹老师讲课总能切中肯綮，让听课的过程变成一场享受，大赞~~让人不得不敬爱的老师。""",,,,,,
"9007-西安交通大学-陶文铨	传热学	""概述：本课程是国家精品课和精品资源共享课的延续，内容以基本知识点为主，同时提供了丰富的素材以提高学生的综合分析能力。 本课程可作为学生课前预习课后复习知识点的手段；便于实施混合式教学，可安排一定的内容线上自学，以利于课堂上进行针对性讨论；每周都有小测验，便于学生检测知识点掌握情况。",,,,,,
"评价：第三章的老师讲得太垃圾了""",,,,,,
"9005-哈尔滨工业大学-尹逊波	微积分（一）	""概述：伦琴在回答科学家需要怎样修养时说： 第一是数学 第二是数学 第三还是数学",,,,,,
"评价：哈工大的尹老师真的特别厉害，至少是在讲课上切切实实的能让学生听进去看，听懂，真的谢谢老师，希望以后有机会能去哈工大在课堂上听一次老师的讲课""",,,,,,
"9008-华中科技大学-刘泽华	大学英语词汇解析	""概述：格“词”穷理，刘教授带你寻踪词汇的来龙去脉、发掘词汇的文化故事、拓展词汇的灵活运用、解码词汇的学习策略。加入《大学英语词汇解析》慕课，我们一起畅游词海、乐学词汇！",,,,,,
"评价：听了第一讲，觉得很有意思，这门课建议改名为《单词有意思》，很棒的，老师也可以出本书啊，以前从来没有这样过理解单词，真的可以加深单词记忆和理解（我评论时，85条五分好评，这门应该是满星通过啊），后悔你现在才来啊，强烈建议慕课君给这门课打啵广告，好的东西值得被分享和学习""",,,,,,
"74001-北京交通大学-张星臣	城市轨道交通运营管理	""概述：城市轨道交通运营管理涉及面广，头绪多，相互之间关系也复杂。从宏观上讲，涉及政策、体制和模式，从微观上讲，可以从“车”“客”和“管”三个角度来展开。本课程针对如何制定合理的列车运行方案，设计有效的城市轨道交通服务，解决大都市通勤客流所表现的严重的时空不均衡性等问题进行了分析与总结。",,,,,,
"评价：北京交通大学的城市轨道交通运营管理这门课是我第一次听到的对城轨知识讲得如此全面、清晰的课程，以前在学校（非北交）也听过这门课，老师上课讲的内容主要是陈旧，跟不上发展，北交的课程让我眼前一亮，内容都是随着社会的发展而更新的，老师讲课的内容也很有深度，比如交通发展与社会问题的结合，介绍国外发展情况，这能拓展学生的知识面。在课堂上，老师也会引领学生们进行深度的思考，我觉得如果一门课能够引发学生的思考那就是有意义的。仅学习了这一门课程，我一下补充了很多的专业知识，...""",,,,,,
"9010-武汉大学-胡成俊	解剖与临床	""概述：解剖学知识琐碎、难懂、易忘是吗？来试试《解剖与临床》这门课吧！ 它以常见疾病的病因、诊断或治疗为线索，帮助你逐步思考、理解和记忆解剖学的重要知识，让你事半功倍、学以致用！",,,,,,
"评价：老师们讲的很好，我都能够听懂，喜欢。""",,,,,,
"9019-中南大学-何炼红	知识产权法	""概述：创新赢未来，知识产权添动力。知识产权制度通过赋予创新者在一定的时间内对创新成果享有专有权，为创新提供激励和制度保障。知识经济时代，青年学子应当顺势而为，掌握全面系统的知识产权知识，谱写创新创业新篇章。",,,,,,
"评价：作为一种新的学习方式，慕课提高了同学们对课堂的兴趣，激发了对学习的热情。其次，慕课还有一定的随意性，我们可以根据自己的学习速度来调整学习进度，并且在学习过程中，如果我们有听不清的地方可以随意返回重新听，这样可以提高学习质量。然后，慕课不用固定的时间和地点，我们可以根据自己时间安排学习，并且可以选择更舒服的地点。我认为在这种轻松的状态中学习，往往会达到事半功倍的效果。""",,,,,,
"9002-南京大学-李满春	走进地理学	""概述：国际欧亚科学院院士、国家教学名师、教育部长江学者特聘教授李满春博士领衔开设“走进地理学”，让大家感知地理学科的发展演变，了解大学地理学学习内容、专业设置和研究方法。九位南大地理老师的倾情奉献，帮助同学们从中学到大学，完成从地理知识到地理科学认知的转换，科学制定大学地理学学习计划，实现持续发展。",,,,,,
"评价：有时候，尽管我们走过很多地方，但我们对这个地方的地理情况：比如人文与城乡规范、气候、地质形成等都并没有深刻的去理解与体会。吃货的旅行地图是吃（人文的一部分），喜欢玩的旅行地图是哪里好玩（仍然是人文的一部分），而学习地理学，会让我们从更加全面的角度认知世界，了解世界，从而达到更好的了解人类与了解自我的要求。让我们一起学习地理学，走进地理学，拓展视野，俺就是学来玩的，不为了考试与学分而学习……增加自己认知的宽度与深度，说不好以后教自己儿孙说不好也用得上呢，哈""",,,,,,
"1001188001-中国药科大学-邓雪阳	中药与美容	""概述：随着人们生活水平的极大提高，美容需求日益旺盛，美容医学蓬勃发展，而古老的“中药美容”则倍受青睬。我们的视频课程以祛痘、美白祛斑、减肥瘦身、抗皮肤老化等医学美容研究的热点做为专题，介绍常见的损容性皮肤病及常用美容中药，旨在使大家“活得更年轻，活得更漂亮”！",,,,,,
"评价：部分课程真的非常不错，有了2X的进度真的考虑学生的学习能力，就是有点意见：1.有的课程本身每个大学都有，其实部分学校没必要开设同一主题内容课程，2.同一课程多次开课时间间隔希望久一点，如果没有太多改善个人觉得没必要开设，同时希望老师们能否不要关闭课程入口，虽然我知道后台可以查看该课程3.一个课程的多次开设个人希望是有所提升的课程，不是重复内容而是学习质量的提升，就拿概率论这一课程来说，第二次开课完全可以从高度角色讲，国际著名案例分析，研究生博士生的角度或者...""",,,,,,
"6001-浙江大学-翁恺	零基础学Java语言	""概述：我们的生活已经离不开计算机了，每天都在用计算机上的软件做事情，这些软件究竟是如何写出来的呢？计算机到底是以怎样的方式来解决问题的呢？零基础学Java语言这门课可以让你学习到计算机解决问题的基本方法。 本课程是面向计算机新人的程序设计入门课程，Java语言是教学的媒介。",,,,,,
评价：之前在各路网站看的教程都不及这个十分之一. 原因1:系统性. 无差错性. 讲得可以让你信任. 不像有些不得当的视频或是半截的博客, 到头来可能还是讲得误导了. 这个零基础你值得拥有. 原因2:不仅学到知识,还可以做题马上测试. 不仅可以加强敲代码的能力,还能从根本上让你不畏惧编码, 迎难而上. 把一个难题去分解成多个小问题去解决. 原因3:期末考试还可以拿证件.是对自己学习成果的正面回馈, 还可以用来当成自己的简历... 原因4:翁老师讲得不仅好,"人也长得..."""
"55001-浙江理工大学-任力	时尚与品牌	""概述：以时尚与品牌为主线，从时尚传播原理到时尚品牌常用知识；从时尚买手、独立设计师到奢侈品牌运营，从全球时尚产业格局到我国时尚大国形象树立；从国际时尚体系到中国传统文化对潮流的影响；从产业到生活，从热点到职场；从传统零售到数字营销，逻辑性梳理各知识点，兼顾广度与深度，强化知识性与实战。",,,,,,
"评价：听了一小节，老师讲的很好，了解基本知识还是可以的。但是感觉课件应该是2014年左右录制的，时尚是一个与时间时代关联度很大的学科，课件感觉有点老了。我看了一下，第一次开课是2018年，如果真的是2014年的课件，那么一个时尚课开课时就用4年前录制的，作为一个被选为国家精品的课，这个对受众的态度有点接受不了。""",,,,,,
"1001477001-上海体育大学-王雪强	运动疗法	""概述：运动疗法是指利用器械、徒手或患者自身力量，通过某些运动方式（主动或被动运动等），使患者获得全身或局部运动功能、感觉功能恢复的训练方法。 由上海体育大学王雪强教师团队制作的《运动疗法》在线课程，让您系统的了解治疗性运动。",,,,,,
"评价：老师的课程填补了国内运动疗法线上慕课的空白，为康复专业学生提供了很好的学习平台，大力点赞！！！""",,,,,,
"8015-华东师范大学-杨剑	锻炼心理学	""概述：锻炼心理学是一门将《体育学》、《心理学》、《生理学》有机结合的交叉学科，重点讲述体育锻炼前、体育锻炼过程中、体育锻炼后的心理体验及某些心理症状或心理问题与体育锻炼之间的关系。八校联袂奉献，带你走进《锻炼心理学》。",,,,,,
"评价：杨老师好厉害""",,,,,,
"104001-华中农业大学-胡惠蓉	花卉学	""概述：爱花不寂寞，莳花收秋色。有多少爱美的天性，就有多少爱花的心灵。花有颜，花中自有颜如玉；花有价，花中自有黄金屋；花有灵，花中自有智慧海。带着对自然的热爱、对科学的追求、对艺术的向往，我们愿陪您走进花花世界，一同分享诗和远方！",,,,,,
"评价：这门课是我学过的慕课中笔记记得最多的，整整一大厚本。信息量很大，内容很丰富，总的逻辑和每章节的内容逻辑都很清晰。老师们讲得都挺好的。总的感觉是给园林设计专业的学生开设的，对于零基础的同学来说内容偏难、专业性过强，不适宜作为普及推广类课程学习。很多术语需要自己弄懂意思。 有的章节没有字幕，做笔记有点费力，因为零基础，很多术语或花名听不太清，不知道是哪几个字。另外，有的章节ppt过于简单，需要做详细的笔记。且有的ppt与所讲内容稍有出入。如果ppt简单又没有字...""",,,,,,
"9004-天津大学-唐韶坤	化工导论	""概述：天津大学《化工导论》课程是为大专院校化工类学生及化工专业与非专业人士学习和了解现代化工概貌及其工程与技术基础知识而开设的导论性入门课程，旨在为专业和非专业的大学生及社会公众提供快速了解化工各专业特性的通道。为学习和工作提供指引与帮助。课程线下授课自2000年至今已连续20年，教学团队精良，教学经验丰富。",,,,,,
"评价：我40岁了，刚入石化行业，想多学习学习，感谢老师。""",,,,,,
"1001195001-暨南大学-程静	生活中的货币时间价值	""概述：当货币遇上时间，会产生怎样的化学反应？货币是什么？历经了哪些形态？为什么一鸟在手胜于两鸟在林？复利的威力到底有多大？多重现金流是什么？贷款陷阱该如何规避？证券定价知多少？应该投资哪个项目？如何未雨绸缪，让自己老有所依？金融通识慕课《生活中的货币时间价值》将会告诉您答案。",,,,,,
"评价：觉得程静老师开的这门课很好，一开始以为讲述货币时间价值这种经济类的课程可能会很乏味，但是看完程静老师的教学视频，一改我对这门课程的看法，从第一章开始，不仅告诉我们许多历史的知识外，也让我们学习到很多金融类的基础知识，比如复利、现值等的计算，很实用，由浅入深，生动形象。而且内容与习题相结合，还有计算软件让我们能够课后去摸索，理论与实践结合，让我们非常容易把握知识点。""",,,,,,
"106001-中南财经政法大学-王清刚	内部控制与风险管理	""概述：欢迎来到《内部控制与风险管理》微课堂。现代企业内部控制已由单纯规避损失的传统风险管理转向能够创造价值的全面风险管理。有效的内控体系能将企业战略、管理理念、控制要求全面融入公司治理、企业文化、岗位授权、制度规范和操作流程，通过风险分析及应对、缺陷改进等，推动企业管理水平的全面提升。 本课程围绕理论阐述、实践操作和案例分析三条主线，突出理论与实践紧密结合，借助校企合作，注重实务操作，结合案例分析，架起理论联系实际的桥梁。实践和案例素材主要来自企事业单位调研的第一手资料。",,,,,,
